review_id,rating_date,review_year,review_month,employee_status,employee_type,employee_length,employee_location,job_title_bucket,flags_business_outlook,flags_ceo_approval,flags_recommend_friend,rating_overall,rating_work_life,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,rating_culture_values,rating_diversity_inclusion,summary_cleaned,advice_to_management_cleaned,review_pros_cleaned,review_cons_cleaned,pros_polarity,pros_subjectivity,cons_polarity,cons_subjectivity,pros_sentiment_label,cons_sentiment_label
48,2025-03-03,2025,2025-03,Regular,Current Employees,2,Unknown,Associate,Neutral,Approve,Positive,3,2,5,3,3,5,5,review fulfillment centre st thomas,provide everyone equal chance make managers responsible towards associates bcz sometimes associates dont know actual information ask help managers say hr safety team hiring positions specially paprocess assistant learning needs evaluated based ground level performance not based connections relatives higher position get hired pa learning safety team needs responsible bcz mostly dont took actions managers needs productivity get promoted associates presurised maintain productivity compromise safety ultimately creates critical health issues associates associates got less work promoted learn new skills compared others favourite managers relatives plz stop fair everyone,pay benefits provide like maternity accommodation insurance,worklife balance continuous work without sitting almost location no public transportation lack chance promotion new skills show giving fair chance everyone not true ground level people certain community especially punjabis got promotions hr pa manager level lack support hr not giving proper information actually need safety ground level compromised managers bcz want productivity get promotion people always praised managers got extrabenefits work able learn new skills hardworking associates,0,0,0.1512012987,0.4922186147,neutral,positive
49,2025-03-02,2025,2025-03,Regular,Former Employees,2,"Bessemer, AL",Stower,Neutral,No Opinion,Negative,3,5,4,1,1,1,3,monotonous,understood safety risk thing rule something distract noise head hrs day day youre someone like kinda rough almost torturous let people listen music man lol,got plenty time mental stuff needed places would fired,company mightve contributed alot needed much time lmao,-0.1,0.2,0.4,0.6,neutral,positive
50,2025-03-01,2025,2025-03,Part Time,Current Employees,4,"Hawthorne, CA",Associate,No Response,No Response,No Response,5,0,0,0,0,0,0,alright,,great experience got see warehouse built ground,became repetitive point,0.8,0.75,-0.25,0.25,positive,negative
51,2025-03-01,2025,2025-03,Regular,Current Employees,6,Sydney,"Management, IT, RME, HR",No Response,No Response,Negative,1,4,1,1,2,1,1,workplace toxicity favoritism,apply practices preach ensure followed not employees lower tier organizations hierarchy train leaders make sure due deligence role training future leaders wont make bigger impact current leaders exercising bias toxic traits moving ladder,bit learning right place right team assigned right team member mentor,dont bother joining though no financial perks since dont casualcontract roles contract cleverly worded get work weekendsnight shifts without offering weekendnight shift allowances no oncall pay either reimburse mobile bills seen culture departments excessive flattery towards leadership playing office politics seeking favoritism leadership appeasing leadership personal gain unhealthy admiration authority prioritizing leadership approval team collaboration performing leadership rather contributing meaningfully dysfunctional work environment hostile workplace dynamics unhealthy team culture negative organizational climate counterproductive work atmosphere culture fear favoritism lack psychological safety workplace unprofessional unsupportive work environment workplace toxicity favoritism,0.2857142857,0.5357142857,-0.07592592593,0.5037037037,positive,neutral
52,2025-03-01,2025,2025-03,Regular,Former Employees,2,"Whitestown, IN",Associate,Positive,Approve,Positive,4,4,1,5,1,5,5,pros cons,better pay hire opportunity insurance employees,good place work lots hours keep busy no time,cons low pay no insurance temp service position,0.4,0.45,0,0.3,positive,neutral
53,2025-02-27,2025,2025-02,Regular,Former Employees,4,Unknown,"Management, IT, RME, HR",No Response,Disapprove,Negative,1,1,2,1,1,1,1,promote based results not yes man,value honesty ethics treat people better promote based results not politics set regional records unable get promoted since wouldnt lie hr situations agm apart shady,stocks given bonuses take years fully vest negative,expectation work days per week always available via phone even work hours expected youre home upper management promotions based achievements team response not yes man last gmagm extremely unethical promoted people would lie also fudged numbers,-0.3,0.4,0.035,0.3733333333,negative,neutral
54,2025-02-26,2025,2025-02,Regular,Former Employee,0,"Dallas, TX",Stower,No Response,No Response,No Response,3,0,0,0,0,0,0,monotonous,,easy job move desired,physically demanding care rates,0.4333333333,0.8333333333,0,0.1428571429,positive,neutral
55,2025-02-26,2025,2025-02,Regular,Current Employees,2,"St. Thomas, ON","Management, IT, RME, HR",Positive,Approve,Positive,5,5,5,5,5,5,5,fastpaced work good benefits,improve break times workload balance reduce fatigue increase employee retention,competitive pay benefits opportunity career growth fastpaced active work environment teamoriented workplace culture training provided no experience required,repetitive tasks exhausting,-0.1333333333,0.6,-0.325,0.375,negative,negative
56,2025-02-25,2025,2025-02,Regular,Former Employee,0,"Illiopolis, IL","Management, IT, RME, HR",No Response,No Response,No Response,3,0,0,0,0,0,0,meh,,insane scope opportunities perks part huge company,untalented people sr positions gone far playing politics hard advance dont agreeable personanlity,-0.3,0.95,-0.09583333333,0.7708333333,negative,neutral
57,2025-02-25,2025,2025-02,Regular,"Former Employee, Less Than 1 Year",1,"Joliet, IL",Associate,Neutral,No Opinion,Positive,4,2,5,3,5,4,5,former amazon warehouse employee,,pay peak timebonus payhours chill staff,labor lack available resourcespeople workers requests troubles job apppay,0,0,0.4,0.4,neutral,positive
58,2025-02-25,2025,2025-02,Freelance,Former Employees,2,"San Francisco, CA","Management, IT, RME, HR",No Response,No Response,No Response,5,5,5,5,5,5,5,good income,,flexible schedule adjust time,much competition sometimes gotta lower prices much get deal not good profit,0,0,0.01666666667,0.3333333333,neutral,neutral
